一	一ＹＩ
沏	氵七刀
沐	氵木Ｍ
沓	水日Ｄ
沓	水日Ｔ
沔	氵一亅
沙	氵少Ｓ
沛	氵一巾
沟	氵勹厶
没	氵殳Ｍ
沣	氵丰Ｆ
沤	氵匚乂
沥	氵厂力
沦	氵人匕
沧	氵仓Ｃ
沩	氵冫力
沪	氵户Ｈ
沫	氵末Ｍ
沭	氵木丶
沮	氵且Ｊ
沱	氵宀匕
河	氵可Ｈ
沸	氵弓刂
油	氵由Ｙ
治	氵厶口
沼	氵召Ｚ
沽	氵古Ｇ
沾	氵占占
沿	氵几口
泄	氵世Ｘ
泅	氵囗人
泉	白水Ｑ
泊	氵白Ｂ
泊	氵白Ｐ
泌	氵心丿
泐	氵阝力
泓	氵弓厶
泔	氵廿一
法	氵土厶
泖	氵Ｇ卩
泗	氵囗儿
泛	氵丿之
泞	氵宁Ｎ
泠	氵亽龴
泡	氵包Ｐ
波	氵皮Ｂ
泣	氵立Ｑ
泥	氵尸匕
注	氵主Ｚ
泪	氵目Ｌ
泫	氵玄Ｘ
泮	氵半Ｐ
泯	氵巳七
泰	<春上>氺Ｔ
泱	氵央Ｙ
泳	氵丶水
泵	石水Ｂ
泷	氵龙Ｌ
泷	氵龙Ｓ
泸	氵卜尸
泺	氵Ｃ小
泻	氵冖Ｓ
泼	氵发Ｐ
泽	氵又干
泾	氵又工
洁	氵吉Ｊ
洄	氵囗口
洇	氵囗大
洋	氵羊Ｙ
洌	氵歹刂
洎	氵丿目
洒	氵西Ｓ
洗	氵牛儿
洙	氵朱Ｚ
洚	氵夂舛
洛	氵各Ｌ
洞	氵冂一
津	氵彐干
洧	氵厂冃
洪	氵龷八
洫	氵丿皿
洮	氵ＫＫ
洱	氵耳Ｅ
洲	氵州Ｚ
洳	氵女口
洵	氵勹日
洹	氵一一
活	氵舌Ｈ
洼	氵圭Ｗ
洽	氵亼口
派	氵厂ｒ
流	氵充川
浃	氵夫丷
浅	氵一戈
浆	丬夕水
浇	氵戈儿
浈	氵卜贝
浊	氵虫Ｚ
测	氵贝刂
浍	氵人云
济	氵文刂
浏	氵文刂
浑	氵冖车
浒	氵讠午
浓	氵巾ｒ
浔	氵彐寸
浙	氵扌斤
浚	氵厶夂
浜	氵丘八
浞	氵足Ｚ
浠	氵乂巾
浣	氵宀元
浦	氵甫Ｐ
浩	氵告Ｈ
浪	氵丶艮
浮	氵爫子
浯	氵五口
浴	氵谷Ｙ
海	氵人母
浸	氵彐又
浼	氵刀儿
涂	氵余Ｔ
涅	氵日土
消	氵Ｍ冃
涉	氵止少
涌	氵龴用
涎	氵丿廴
涑	氵木口
涓	氵口冃
涔	氵山乛
涕	氵丷弓
涛	氵丰寸
涝	氵营力
涞	氵未丷
涟	氵车辶
涠	氵囗二
涡	氵口内
涣	氵刀大
涤	氵夂朩
润	氵门王
涧	氵门日
涨	氵弓长
涩	氵刀止
涪	氵立口
涫	氵宀官
涮	氵尸刂
涯	氵厂圭
液	氵亠夂
涵	氵乛凵
涸	氵囗古
涿	氵豕丶
淀	氵宀止
淄	氵巛田
淅	氵木斤
淆	氵乂冃
淇	氵其Ｑ
淋	氵林Ｌ
淌	氵尚Ｔ
淑	氵卜又
淖	氵卜十
淘	氵勹缶
淙	氵宀示
淝	氵月巴
淞	氵八厶
淠	氵田丌
淡	氵火火
淤	氵人冫
淦	氵金Ｇ
淫	氵爫壬
淬	氵亠十
淮	氵隹Ｈ
深	氵㓁木
淳	氵高子
混	氵日比
淹	氵大乚
添	氵一小
淼	水水水
清	氵青Ｑ
渊	氵刂米
渌	氵彐水
渍	氵龶贝
渎	氵十头
渐	氵车斤
渑	氵口乚
渔	氵鱼Ｙ
渗	氵厶彡
渚	氵者Ｚ
渝	氵亼前
渠	氵匚木
渡	氵广又
渣	氵木一
渤	氵十力
渥	氵尸土
温	氵日皿
渫	氵世木
渭	氵田冃
港	氵龷巳
渲	氵宀一
渴	氵日勹
游	氵族子
渺	氵目少
湃	氵一丰
湄	氵尸目
湍	氵山皿
湎	氵丆罒
湓	氵分皿
湔	氵首前
湖	氵古月
湘	氵木目
湛	氵其乚
湟	氵白王
湫	氵禾火
湮	氵覀土
湾	氵亦弓
湿	氵日业
溃	氵贵Ｋ
溃	氵贵Ｈ
溅	氵贝戈
溆	氵余又
溉	氵艮旡
溏	氵广口
源	氵厂小
溘	氵土皿
溜	氵刀田
溟	氵冖八
溢	氵首皿
溥	氵甫寸
溧	氵覀木
溪	氵爫大
溯	氵丷月
溱	氵<春上>禾
溲	氵叟Ｓ
溴	氵丿大
溶	氵宀谷
溷	氵囗豕
溺	氵弓弓
溻	氵日羽
溽	氵厂寸
滁	氵阝余
滂	氵旁方
滇	氵十八
滋	氵首幺
滏	氵父首
滑	氵骨Ｈ
滓	氵宀辛
滔	氵爫臼
滕	月龹氺
滗	氵竹毛
滚	氵衣八
滞	氵卅巾
滟	氵刀巴
滠	氵耳又
满	氵艹两
滢	氵营王
滤	氵虍心
滥	氵Ｋ皿
滦	氵亦木
滨	氵穴丘
滩	氵又隹
滴	氵啇Ｄ
滹	氵虍丁
漂	氵覀示
漆	氵木氺
漉	氵鹿比
漏	氵尸雨
漓	氵文冂
演	氵穴一
漕	氵西日
漠	氵莫Ｍ
漤	氵林女
漩	氵族止
漪	氵大可
漫	氵日又
漭	氵艹廾
漯	氵田小
漱	氵木欠
漳	氵章Ｚ
漶	氵口心
漾	氵<美上>水
潆	氵营小
潇	氵艹川
潋	氵亼攵
潍	氵纟隹
潘	氵丿田
潜	氵夫日
潞	氵足各
潢	氵龷八
潦	氵大小
潭	氵覀十
潮	氵十月
潲	氵Ｍ冃
潴	氵犭者
潸	氵林冃
潺	氵尸子
潼	氵立里
澄	氵癶首
澈	氵充攵
澉	氵乛攵
澌	氵其斤
澍	氵吉寸
澎	氵吉彡
澜	氵门木
澡	氵口木
澧	氵日首
澳	氵白大
澶	氵亠一
澹	氵刀言
激	氵白攵
濂	氵广兼
濉	氵目隹
濑	氵木负
濒	氵止页
濞	氵丿丌
濠	氵亮豕
濡	氵雨皿
濮	氵业丶
濯	氵羽隹
瀑	氵日氺
瀚	氵人羽
瀛	氵赢赢
瀣	氵又一
瀵	氵米八
瀹	氵亼冊
灌	氵艹隹
灏	氵日页
灞	氵雨月
火	火ＨＯ
灭	一火Ｍ
灯	火丁Ｄ
灰	厂火Ｈ
灵	彐火Ｌ
灶	火土Ｚ
灸	刀丶火
灼	火勹丶
灾	宀火Ｚ
灿	火山Ｃ
炀	火Ｊ彳
炅	日火Ｊ
炅	日火Ｇ
炉	火户Ｌ
炊	火欠Ｃ
炎	火火Ｙ
炒	火少Ｃ
炔	火夬Ｑ
炕	火亠几
炖	火七凵
炙	夕火Ｚ
炜	火二卩
炝	火仓Ｑ
炫	火玄Ｘ
炬	火匚尸
炭	山厂火
炮	火包Ｐ
炮	火包Ｂ
炯	火冂口
炱	厶口火
炳	火一内
炷	火主Ｚ
炸	火乍Ｚ
点	占占灬
炻	火石Ｓ
炼	火七小
炽	火口八
烀	火丿丁
烁	火Ｃ小
烂	火首二
烃	火又工
烈	歹刂灬
烊	火羊Ｙ
烘	火龷八
烙	火各Ｌ
烛	火虫Ｚ
烟	火囗大
烤	火耂丂
烦	火页Ｆ
烧	火戈儿
烨	火匕十
烩	火人云
烫	氵Ｊ火
烬	火尺冫
热	执执灬
烯	火乂巾
烷	火宀元
烹	高乛灬
烽	火夂丰
焉	一Ｓ灬
焊	火日干
焐	火五口
焓	火亽口
焕	火刀大
焖	火门心
焘	丰寸灬
焙	火立口
焚	林火Ｆ
焦	焦ＪＯ
焯	火卜十
焰	火刀臼
焱	火火火
然	夕丶灬
煅	火Ｅ殳
煊	火宀一
煌	火白王
煎	首前灬
煜	火日立
煞	刀攵灬
煤	火廿木
煦	日勹灬
照	日召灬
煨	火田ｒ
煮	者灬Ｚ
煲	亻口火
煳	火古月
煸	火户冊
煺	火艮辶
煽	火户羽
熄	火丿心
熊	厶匕灬
熏	千黑Ｘ
熔	火宀谷
熘	火刀田
熙	匚巳灬
熟	高九灬
熠	火羽白
熨	尸寸火
熬	敖灬Ａ
熵	火商Ｓ
熹	吉首灬
燃	火丶灬
燎	火大小
燔	火丿田
燕	廿口灬
燠	火白大
燥	火口木
燧	火首辶
燮	火火又
燹	豕豕火
爆	火日氺
爝	火爫寸
爨	臼冂火
爪	爪ＺＡ
爪	爪ＺＯ
爬	爪巴Ｐ
爰	爫干又
爱	爱爱Ａ
爵	爫艮寸
父	父ＦＵ
爷	父卩Ｙ
爸	父巴Ｂ
爹	父夕夕
爻	乂乂Ｙ
爽	大乂乂
爿	爿ＰＮ
片	片ＰＮ
版	片反反
牌	片卑卑
牍	片十头
牒	片世木
牖	片户甫
牙	一才Ｙ
牛	牛ＮＵ
牝	牜匕Ｐ
牟	厶牛Ｍ
牡	牜土Ｍ
牢	宀牛Ｌ
牦	牜毛Ｍ
牧	牜攵Ｍ
物	牜勹彳
牮	代牛Ｊ
牯	牜古Ｇ
牲	牜丿龶
牵	大冖牛
特	牜土寸
牺	牜西Ｘ
牾	牜五口
牿	牜告Ｇ
犀	尸氺牛
犁	禾刂牛
犄	牜大可
犊	牜十头
犋	牜且八
犍	牜彐廴
犏	牜户冊
犒	牜高Ｋ
犟	弓虽牛
犬	大丶Ｑ
犯	犭㔾Ｆ
犰	犭九Ｑ
犴	犭干Ａ
犴	犭干Ｈ
状	丬大丶
犷	犭广Ｇ
犸	犭马Ｍ
犹	犭尢丶
狁	犭厶儿
狂	犭王Ｋ
狃	犭丑Ｎ
狄	犭火Ｄ
狈	犭贝Ｂ
狍	犭包Ｐ
狎	犭甲Ｘ
狐	犭瓜Ｈ
狒	犭弓刂
狗	犭勹口
狙	犭且Ｊ
狞	犭宁Ｎ
狠	犭艮Ｈ
狡	犭亠父
狨	犭戈厂
狩	犭宀寸
独	犭虫Ｄ
狭	犭夫丷
狮	犭一巾
狯	犭人云
狰	犭刀亅
狱	犭大丶
狲	犭子小
狳	犭余Ｙ
狴	犭比土
狷	犭口冃
狸	犭里Ｌ
狺	犭言Ｙ
狻	犭厶夂
狼	犭丶艮
猁	犭禾刂
猃	犭亼兴
猊	犭臼儿
猎	犭龷日
猕	犭刀小
猖	犭日日
猗	犭大可
猛	犭子皿
猜	犭青Ｃ
猝	犭亠十
猞	犭亼古
猡	犭罒夕
猢	犭古月
猥	犭田ｒ
猩	犭日龶
猪	犭者Ｚ
猫	犭艹田
猬	犭田冃
献	Ｍ大丶
猱	犭龴木
猴	犭尸矢
猷	酋大丶
猹	犭木一
猾	犭骨Ｈ
猿	犭土ｒ
獍	犭竟Ｊ
獐	犭章Ｚ
獒	敖大丶
獗	犭厂欠
獠	犭大小
獬	犭刀牛
獭	犭木负
獯	犭千黑
獾	犭艹隹
玄	玄ＸＮ
率	亠幺十
玉	王丶Ｙ
王	王ＷＧ
玎	王丁Ｄ
玑	王几Ｊ
玖	王刀丶
玛	王马Ｍ
玟	王文Ｗ
玢	王分Ｆ
玢	王分Ｂ
玩	王元Ｗ
玫	王攵Ｍ
玮	王二卩
环	王不Ｈ
现	王见Ｘ
玲	王亽龴
玳	王代Ｄ
玷	王占占
玺	刀小王
玻	王皮Ｂ
珀	王白Ｐ
珂	王可Ｋ
珈	王加Ｊ
珉	王巳七
珊	王册Ｓ
珍	王人彡
珏	王王丶
珐	王土厶
珑	王龙Ｌ
珙	王龷八
珞	王各Ｌ
珠	王朱Ｚ
珥	王耳Ｅ
珧	王ＫＫ
珩	王彳亍
班	王刂王
珲	王冖车
球	王氺丶
琅	王丶艮
理	王里Ｌ
琉	王充川
琊	王一阝
琏	王车辶
琐	王Ｍ贝
琚	王尸古
琛	王㓁木
琢	王豕丶
琥	王虍几
琦	王大可
琨	王日比
琪	王其Ｑ
琬	王宀㔾
琮	王宀示
琰	王火火
琳	王林Ｌ
琴	王王乛
琵	王王比
琶	王王巴
琼	王高小
瑁	王日目
瑕	王尸又
瑗	王爫又
瑙	王巛白
瑚	王古月
瑛	王艹央
瑜	王亼前
瑞	王山皿
瑟	王心丿
瑭	王广口
瑰	王白儿
瑶	王爫缶
瑷	王爱爱
瑾	王廿龶
璀	王山隹
璁	王白心
璃	王文冂
璇	王族止
璋	王章Ｚ
璎	王贝女
璐	王足各
璜	王龷八
璞	王业丶
璧	尸辛王
璨	王又米
璩	王虍豕
璺	臼冂王
瓒	王牛贝
瓜	瓜ＧＡ
瓞	瓜失Ｄ
瓠	大Ｓ瓜
瓢	覀示瓜
瓣	辛瓜辛
瓤	衣口瓜
瓦	瓦ＷＡ
瓮	八厶瓦
瓯	匚乂瓦
瓴	亽龴瓦
瓶	首廾瓦
瓷	冫欠瓦
瓿	立口瓦
甄	覀土瓦
甍	艹罒瓦
甏	吉彡瓦
甑	丷日瓦
甓	尸辛瓦
甘	廿一Ｇ
甚	其乚Ｓ
甜	舌廿一
生	丿龶Ｓ
甥	丿龶力
用	用ＹＧ
甩	月乚Ｓ
甫	甫ＦＵ
甬	龴用Ｙ
甭	不用Ｂ
甯	宀心用
田	田ＴＮ
由	由ＹＵ
甲	甲ＪＡ
申	日丨Ｓ
电	日乚Ｄ
男	田力Ｎ
甸	勹田Ｄ
町	田丁Ｄ
画	一田凵
甾	巛田Ｚ
畀	田丌Ｂ
畅	日丨Ｊ
畈	田反反
畋	田攵Ｔ
界	田人刂
畎	田大丶
畏	田ｒＷ
畔	田半Ｐ
留	Ｃ刀田
畚	厶大田
畛	田人彡
畜	玄田Ｃ
畜	玄田Ｘ
略	田各Ｌ
畦	田圭Ｑ
番	丿米田
畲	人示田
畴	田丰寸
畸	田大可
畹	田宀㔾
畿	幺戈田
疃	田立里
疆	弓土一
疏	乛止川
疑	匕矢止
疔	疒丁Ｄ
疖	疒卩Ｊ
疗	疒乛亅
疙	疒人乙
疚	疒刀丶
疝	疒山Ｓ
疟	疒ＥＮ
疟	疒ＥＹ
疠	疒丆亅
疡	疒Ｊ彳
疣	疒尢丶
疤	疒巴Ｂ
疥	疒人刂
疫	疒殳Ｙ
疬	疒厂力
疮	疒仓Ｃ
疯	疒风Ｆ
疰	疒主Ｚ
疱	疒包Ｐ
疲	疒皮Ｐ
疳	疒廿一
疴	疒可Ｋ
疵	疒止匕
疸	疒日一
疹	疒人彡
疼	疒夂冫
疽	疒且Ｊ
疾	疒矢Ｊ
痂	疒加Ｊ
痃	疒玄Ｘ
痄	疒乍Ｚ
病	疒一内
症	疒一止
痈	疒用Ｙ
痉	疒又工
痊	疒全Ｑ
痍	疒大弓
痒	疒羊Ｙ
痔	疒土寸
痕	疒艮Ｈ
痘	疒一首
痛	疒龴用
痞	疒不口
痢	疒禾刂
痣	疒士心
痤	疒人土
痦	疒五口
痧	疒氵少
痨	疒营力
痪	疒刀大
痫	疒门木
痰	疒火火
痱	疒非Ｆ
痴	疒矢口
痹	疒田丌
痼	疒囗古
痿	疒禾女
瘀	疒方冫
瘁	疒亠十
瘃	疒豕丶
瘅	疒丷十
瘊	疒亻矢
瘌	疒木刂
瘐	疒臼人
瘕	疒尸又
瘗	疒夫土
瘘	疒米女
瘙	疒又虫
瘛	疒丰心
瘟	疒日皿
瘠	疒Ｋ月
瘢	疒舟殳
瘤	疒Ｃ田
瘥	疒羊工
瘦	疒叟Ｓ
瘩	疒艹口
瘪	疒丿匕
瘫	疒又隹
瘭	疒覀示
瘰	疒田小
瘳	疒羽彡
瘴	疒章Ｚ
瘵	疒祭示
瘸	疒加内
瘼	疒莫Ｍ
瘾	疒阝心
瘿	疒贝女
癀	疒龷八
癃	疒阝龶
癌	疒口山
癍	疒王王
癔	疒立心
癖	疒尸辛
癜	疒尸殳
癞	疒木负
癣	疒鱼羊
癫	疒十页
癯	疒目隹
癸	癶一大
登	癶一首
白	白ＢＩ
百	丆日Ｂ
皂	白七Ｚ
的	白勹丶
皆	比白Ｊ
皇	白王Ｈ
皈	白反反
皋	白大十
皎	白亠父
皑	白山己
皓	白告Ｈ
皖	白宀元
皙	木斤白
皤	白丿田
皮	皮ＰＩ
皱	刀彐皮
皲	冖车皮
皴	厶夂皮
皿	皿ＭＮ
盂	于皿Ｙ
盅	口丨皿
盆	分皿Ｐ
盈	乃又皿
益	首八皿
盍	土厶皿
盎	央皿Ａ
盏	一戈皿
盐	土卜皿
监	刂Ｋ皿
盒	亼口皿
盔	厂火皿
盖	<美上>皿Ｇ
盗	冫欠皿
盘	舟皿Ｐ
盛	戊亅皿
盟	日月皿
盥	臼水皿
目	目ＭＵ
盯	目丁Ｄ
盱	目于Ｘ
盲	亡目Ｍ
直	十且Ｚ
相	木目Ｘ
盹	目七凵
盼	目分Ｐ
盾	厂十目
省	少目Ｓ
省	少目Ｘ
眄	目一亅
眇	目少Ｍ
眈	目巾乚
眉	尸目Ｍ
看	龵目Ｋ
眍	目匚乂
眙	目厶口
眚	丿龶目
真	十且八
眠	目巳七
眢	夕㔾目
眦	目止匕
眨	目丿之
眩	目玄Ｘ
眭	目圭Ｓ
眯	目米Ｍ
眵	目夕夕
眶	目匚王
眷	龹目Ｊ
眸	目厶牛
眺	目ＫＫ
眼	目艮Ｙ
着	羊目Ｚ
睁	目刀亅
睃	目厶夂
睇	目丷弓
睐	目未丷
睑	目亼兴
睚	目厂圭
睛	目青Ｊ
睡	目千垂
睢	目隹Ｓ
督	卜又目
睥	目卑卑
睦	目土土
睨	目臼儿
睫	目一止
睬	目爫木
睹	目者Ｄ
睽	目癶大
睾	丿罒十
睿	卜冖目
瞀	龴攵目
瞄	目艹田
瞅	目禾火
瞌	目土皿
瞍	目叟Ｓ
瞎	目宀口
瞑	目冖八
瞒	目艹两
瞟	目覀示
瞠	目尚土
瞢	艹罒目
瞥	丷攵目
瞧	目焦Ｑ
瞩	目尸冂
瞪	目癶首
瞬	目爫舛
瞰	目乛攵
瞳	目立里
瞵	目米舛
瞻	目刀言
瞽	吉十目
瞿	目目隹
矍	目目又
矗	十且且
矛	龴才Ｍ
矜	龴才乛
矢	矢ＳＩ
矣	厶矢Ｙ
知	矢口Ｚ
矧	矢弓丨
矩	矢匚尸
矫	矢丿刂
矬	矢人土
短	矢一首
矮	矢禾女
石	石ＳＩ
石	石ＤＮ
矶	石几Ｊ
矸	石干Ｇ
矾	石几丶
矿	石广Ｋ
砀	石Ｊ彳
码	石马Ｍ
砂	石少Ｓ
砉	丰石Ｈ
砌	石七刀
砍	石欠Ｋ
砑	石一才
砒	石比Ｐ
研	石一廾
砖	石二龴
砗	石车Ｃ
砘	石七凵
砚	石见Ｙ
砜	石风Ｆ
砝	石土厶
砟	石乍Ｚ
砣	石宀匕
砥	石Ｃ七
砧	石占占
砬	石立Ｌ
砭	石丿之
砰	石干丷
破	石皮Ｐ
砷	石日丨
砸	石匚巾
砹	石艹乂
砺	石厂亅
砻	龙石Ｌ
砼	石人工
砾	石Ｃ小
础	石出Ｃ
硅	石圭Ｇ
硇	石白乂
硌	石各Ｇ
硎	石一刂
硐	石冂一
硒	石西Ｘ
硕	石页Ｓ
硖	石夫丷
硗	石戈儿
硝	石Ｍ冃
硪	石手戈
硫	石充川
硬	石丈日
硭	石艹亡
确	石刀用
硼	石月月
碇	石宀止
碉	石冂土
碌	石彐水
碍	石日寸
碎	石亠十
碑	石卑卑
碓	石隹Ｄ
碗	石宀㔾
碘	石冂八
碚	石立口
碛	石龶贝
碜	石厶彡
碟	石世木
碡	石龶母
碣	石日勹
碥	石户冊
碧	王白石
碰	石首业
碱	石戊一
碲	石旁巾
碳	石山火
碴	石木一
碹	石宀一
碾	石尸ｒ
磁	石首幺
磅	石旁方
磉	石又木
磊	石石石
磋	石羊工
磐	舟殳石
磔	石舛木
磕	石土皿
磙	石衣八
磨	广林石
磬	声殳石
磲	石匚木
磴	石癶首
磷	石米舛
礁	石焦Ｊ
礅	石高攵
礓	石一一
礞	石营豕
礴	石落寸
示	示ＳＩ
礼	礻乚Ｌ
社	礻土Ｓ
祀	礻巳Ｓ
祁	礻阝Ｑ
祆	礻一大
祈	礻斤Ｑ
祉	礻止Ｚ
祓	礻犮Ｆ
祖	礻且Ｚ
祗	礻Ｃ七
祚	礻乍Ｚ
祛	礻土厶
祜	礻古Ｈ
祝	礻口儿
神	礻日丨
祟	出示Ｓ
祠	礻亅一
祢	礻刀小
祥	礻羊Ｘ
祧	礻ＫＫ
票	覀示Ｐ
祭	祭示Ｊ
祭	祭示Ｚ
祯	礻卜贝
祷	礻丰寸
祸	礻口内
祺	礻其Ｑ
禀	亠囗示
禁	林示Ｊ
禄	礻彐水
禅	礻丷十
禊	礻刀大
福	礻畐Ｆ
禚	礻<美上>灬
禧	礻吉口
禳	礻衣口
禹	丿虫冂
禺	甲冂一
离	文凵冂
禽	人文冂
禾	禾ＨＥ
秀	禾乃Ｘ
私	禾厶Ｓ
秃	禾几Ｔ
秆	禾干Ｇ
秉	禾彐Ｂ
秋	禾火Ｑ
种	禾口丨
科	禾斗Ｋ
秒	禾少Ｍ
秕	禾比Ｂ
秘	禾心丿
租	禾且Ｚ
秣	禾末Ｍ
秤	禾干丷
秦	<春上>禾Ｑ
秧	禾央Ｙ
秩	禾失Ｚ
秫	禾木丶
秭	禾丿Ｓ
积	禾口八
称	禾刀小
秸	禾吉Ｊ
移	禾夕夕
秽	禾山夕
稀	禾乂巾
稂	禾丶艮
稃	禾爫子
稆	禾口口
程	禾口王
稍	禾Ｍ冃
税	禾丷儿
稔	禾亽心
稗	禾卑卑
稚	禾隹Ｚ
稞	禾日木
稠	禾冂土
稣	鱼禾Ｓ
稳	禾刀心
稷	禾田夂
稹	禾十八
稻	禾爫臼
稼	禾宀豕
稽	禾丶日
稿	禾高Ｇ
穆	禾白彡
穑	禾十囗
穗	禾士心
穰	禾衣口
穴	穴ＸＥ
究	穴九Ｊ
穷	穴力Ｑ
穸	穴夕Ｘ
穹	穴弓Ｑ
空	穴工Ｋ
穿	穴一才
窀	穴七凵
突	穴大丶
窃	穴七刀
窄	穴乍Ｚ
窈	穴幺力
窍	穴工丂
窑	穴缶Ｙ
窒	穴一土
窕	穴ＫＫ
窖	穴告Ｊ
窗	穴白夂
窘	穴丿口
窜	穴口丨
窝	穴口内
窟	穴尸出
窠	穴日木
窥	穴夫见
窦	穴十头
窨	穴立日
窬	穴亼前
窭	穴米女
窳	穴瓜瓜
窿	穴阝龶
立	立ＬＩ
竖	刂又立
站	立占占
竞	立口儿
竟	竟ＪＧ
章	章ＺＧ
竣	立厶夂
童	立里Ｔ
竦	立木口
竭	立日勹
端	立山皿
竹	竹ＺＵ
竺	竹二Ｚ
竽	竹于Ｙ
竿	竹干Ｇ
笃	竹马Ｄ
笄	竹一廾
笆	竹巴Ｂ
笈	竹及Ｊ
笊	竹爪Ｚ
笋	竹彐丿
笏	竹勹彳
笑	竹丿大
笔	竹毛Ｂ
笕	竹见Ｊ
笙	竹丿龶
笛	竹由Ｄ
笞	竹厶口
笠	竹立Ｌ
笤	竹召Ｔ
笥	竹亅口
符	竹亻寸
笨	竹木一
笪	竹日一
笫	竹Ｓ丿
第	竹弓丿
笮	竹乍Ｚ
笱	竹勹口
笳	竹加Ｊ
笸	竹匚口
笺	竹一戈
笼	竹龙Ｌ
笾	竹力辶
筅	竹牛儿
筇	竹工阝
等	竹土寸
筋	竹月力
筌	竹全Ｑ
筏	竹亻戈
筐	竹匚王
筑	竹工几
筒	竹冂一
答	竹亼口
策	竹木冂
筘	竹扌口
筚	竹比十
筛	竹刂巾
筝	竹刀亅
筠	竹土勹
筢	竹扌巴
筮	竹工人
筱	竹亻攵
筲	竹Ｍ冃
筵	竹丿廴
筷	竹忄夬
筹	竹丰寸
筻	竹丈日
签	竹亼兴
简	竹门日
箅	竹田丌
箍	竹扌匚
箐	竹青Ｑ
箔	竹氵白
箕	竹其Ｊ
算	竹目廾
箜	竹穴工
管	竹宀官
箢	竹夕㔾
箦	竹龶贝
箧	竹匚夫
箨	竹扌干
箩	竹罒夕
箪	竹丷十
箫	竹彐川
箬	竹厂口
箭	竹首前
箱	竹木目
箴	竹戊一
箸	竹者Ｚ
篁	竹白王
篆	竹彑豕
篇	竹户冊
篌	竹亻矢
篑	竹贵Ｋ
篓	竹米女
篙	竹高Ｇ
篚	竹匚非
篝	竹井冂
篡	竹目厶
篥	竹覀木
篦	竹白比
篪	竹厂几
篮	竹刂皿
篱	竹文冂
篷	竹夂辶
篼	竹白儿
篾	竹罒戊
簇	竹族矢
簋	竹艮皿
簌	竹木欠
簏	竹鹿比
簖	竹乚斤
簟	竹覀十
簧	竹龷八
簪	竹旡日
簸	竹其皮
簿	竹氵寸
籀	竹扌田
籁	竹木负
籍	竹耒日
米	米ＭＩ
籴	丿丶米
类	米大Ｌ
籼	米山Ｘ
籽	米子Ｚ
粉	米分Ｆ
粑	米巴Ｂ
粒	米立Ｌ
粕	米白Ｐ
粗	米且Ｃ
粘	米占占
粜	出米Ｔ
粝	米厂亅
粞	米西Ｘ
粟	覀米Ｓ
粢	冫欠米
粤	白米丂
粥	弓米弓
粪	米龷八
粮	米丶艮
粱	氵刀米
粲	卜又米
粳	米丈日
粹	米亠十
粼	米夕巛
粽	米宀示
精	米青Ｊ
糁	米厶彡
糅	米龴木
糇	米尸矢
糈	米乛冃
糊	米古月
糌	米卜日
糍	米首幺
糕	米<美上>灬
糖	米广口
糗	米丿大
糙	米告辶
糜	广林米
糟	米西日
糠	米广水
糨	米弓虽
糯	米雨皿
系	丿幺小
紊	文幺小
素	龶幺小
索	十冖小
紧	刂又小
紫	止匕小
累	田幺小
絮	女口小
絷	执执小
綦	其幺小
綮	户攵小
縻	广林小
繁	人攵小
繇	爫缶小
纂	竹目小
纛	龶小小
纠	纟丩Ｊ
纡	纟于Ｙ
红	纟工Ｈ
纣	纟寸Ｚ
纤	纟千Ｘ
纤	纟千Ｑ
纥	纟人乙
约	纟勹丶
级	纟及Ｊ
纨	纟九丶
纩	纟广Ｋ
纪	纟己Ｊ
纫	纟刀丶
纬	纟二卩
纭	纟云Ｙ
纯	纟七凵
纰	纟比Ｐ
纱	纟少Ｓ
纲	纟冂乂
纳	纟内Ｎ
纵	纟人人
纶	纟人匕
纷	纟分Ｆ
纸	纟Ｃ七
纹	纟文Ｗ
纺	纟方Ｆ
纽	纟丑Ｎ
纾	纟龴丁
线	纟一戈
绀	纟廿一
绁	纟世Ｘ
绂	纟犮Ｆ
练	纟七小
组	纟且Ｚ
绅	纟日丨
细	纟田Ｘ
织	纟口八
终	纟夂冫
绉	纟刀彐
绊	纟半Ｂ
绋	纟弓刂
绌	纟出Ｃ
绍	纟召Ｓ
绎	纟又干
经	纟又工
绐	纟厶口
绑	纟丰阝
绒	纟戈厂
结	纟吉Ｊ
绔	纟大Ｓ
绕	纟戈儿
绗	纟彳亍
绘	纟人云
给	纟亼口
绚	纟勹日
绛	纟夂舛
络	纟各Ｌ
绝	纟刀巴
绞	纟亠父
统	纟充儿
绠	纟丈日
绡	纟Ｍ冃
绢	纟口冃
绣	纟禾乃
绥	纟爫女
绦	纟夂朩
继	纟米乚
绨	纟丷弓
绩	纟龶贝
绪	纟者Ｘ
绫	纟土夂
续	纟十头
绮	纟大可
绯	纟非Ｆ
绰	纟卜十
绱	纟尚Ｓ
绲	纟日比
绳	纟口乚
维	纟隹Ｗ
绵	纟白巾
绶	纟受Ｓ
绷	纟月月
绸	纟冂土
绺	纟卜口
绻	纟龹㔾
综	纟宀示
绽	纟宀止
绾	纟宀官
绿	纟彐水
缀	纟又又
缁	纟巛田
缂	纟革Ｋ
缃	纟木目
缄	纟戊一
缅	纟丆罒
缆	纟Ｋ见
缇	纟日止
缈	纟目少
缉	纟口耳
缌	纟田心
缎	纟Ｅ殳
缑	纟尸矢
缒	纟追辶
缓	纟爫又
缔	纟旁巾
缕	纟米女
编	纟户冊
